codigo,actividad,actividad_corta,sector_code,dane_groups,group_order,pib_2010_billones,pib_2025_billones,crec_pib,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados,horas_2010_millones,horas_2025_millones,crec_horas,horas_semanales_2010,horas_semanales_2025,crec_horas_semanales,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
"037,038",Textiles y confecciones,Textiles y confecciones,C,"037,038",19,7.967,10.607965725792193,0.01926979071826329,0.4813899335993708,0.49805116874437017,0.0022709216973502144,1119.108049812923,1121.444018770091,0.00013902122351860946,44.706603001298504,43.30123586410685,-0.0021270700642708196,16.549992934896746,21.29894756102227,0.01696035338641333,7.119062365186108,9.459202196669748,0.019128110281449784
039,"Cuero, calzado y artículos de viaje","Cuero, calzado y artículos de viaje",C,039,20,1.676,1.1849977163851964,-0.022846256986206348,0.13365241144631937,0.1828688716093106,0.02112176316134029,354.1790127416737,403.9928821521024,0.008811581313300065,50.96155607452283,42.48450717265144,-0.012055547430434355,12.539990725667936,6.480040621221088,-0.0430585477009362,4.732070336483822,2.9332143429671795,-0.03138131925318832
040,Madera,Madera,C,040,21,1.052,1.0115700594317696,-0.002609221793317351,0.05382927268261071,0.054824881653493765,0.001222527649991978,123.91987311980289,105.55669796279683,-0.010635501633013078,44.270976818213136,37.025825465784564,-0.011843550215392629,19.543269815344235,18.450930105515447,-0.003827070743506966,8.489356658580101,9.583191582861891,0.008112560995410245
041,Papel y cartón,Papel y cartón,C,041,22,2.769,3.60263545379592,0.017700116404734345,0.035843175242087695,0.04042432980803852,0.008050811390817758,90.409093172624,95.86592426265828,0.0039146919668693325,48.50676301479864,45.60559136896268,-0.004103086250425991,77.25320040141396,89.12047449898658,0.0095722407093779,30.62745021358601,37.5799376212682,0.013731669182823536
042,Impresión y reproducción,Impresión y reproducción,C,042,23,1.578,1.8796293993284645,0.011729349405886769,0.05375330362698627,0.041980983995312124,-0.016344185320070204,129.42732227561564,93.32943084092982,-0.021563053959805845,46.303888298861565,42.75261263865032,-0.00530558408932269,29.356335211512132,44.77335260979963,0.028539997738021627,12.192170650333376,20.13972851213563,0.03402611021632951
"043,044",Coquización y refinación,Coquización y refinación,C,"043,044",24,8.555,11.380767730722491,0.019209437475487867,0.0035034287446372436,0.005410799715745583,0.029400902431840015,9.16089690363951,12.891690382577572,0.02303727564423297,50.28533677770035,45.818942811804774,-0.006181874110051555,2441.8935344682777,2103.3430044738357,-0.009900384711414079,933.8605258837928,882.798717079258,-0.003741640954709635
045-047,Químicos y farmacéuticos,Químicos y farmacéuticos,C,045-047,25,10.24,13.992974262618619,0.02103509971896811,0.10486120505733425,0.16211162088118236,0.02946903203032436,259.25584689043774,381.59073024332525,0.026103771213176197,47.54560431144824,45.26685523235006,-0.0032689286539402396,97.65289264414942,86.3169104506986,-0.008192507058442322,39.497662725143684,36.670110549320356,-0.004939726016419788
048,Caucho y plástico,Caucho y plástico,C,048,26,2.476,3.0731977001390605,0.014509202001246724,0.0720288202673614,0.10840705044027209,0.02762993878337716,186.1443047530424,261.83263469470955,0.023006205626023624,49.69813687132977,46.44755995526764,-0.0044994146071957175,34.37512916093054,28.348688463138924,-0.01276795886042803,13.30150822118844,11.73725996273281,-0.008305916013067627
049,Minerales no metálicos,Minerales no metálicos,C,049,27,9.722,10.92050939766307,0.007780193550365855,0.0779906339133927,0.09588441569351344,0.013865562240417129,203.35894830411138,228.60625356064344,0.007832412182043225,50.14382893965342,45.84972516271857,-0.0059506410741893,124.65599408765057,113.8924330786931,-0.006002145567114425,47.80709224293056,47.7699504172406,-5.181281237465196e-05
"050,051",Metalurgia y productos metálicos,Metalurgia y productos metálicos,C,"050,051",28,5.32,6.32203412826802,0.011570945346875083,0.16903266473389073,0.20759758543399404,0.01379491991699,432.2552123102765,494.57100772015303,0.009018729374544066,49.17747850584187,45.814506453974545,-0.004711199916879738,31.47320672235341,30.453312426786965,-0.002193712482103427,12.3075438965008,12.7828644008289,0.0025294039625141096
052,Equipo eléctrico y electrónico,Equipo eléctrico y electrónico,C,052,29,1.653,2.8607531984501176,0.03724297604058724,0.04239922673117084,0.05104724259419475,0.012451644475257373,106.48690951570319,121.2235855533742,0.008678413818930863,48.29864459506246,45.66794758407703,-0.0037268255495621627,38.98656007291653,56.041287502871924,0.02448643518000182,15.523034779746697,23.59898187626649,0.028318799956775775
"053,057",Maquinaria e instalación,Maquinaria e instalación,C,"053,057",30,4.118,4.018355967096478,-0.0016316509433085269,0.0918463499114909,0.10560302900207087,0.009348088534115728,231.85351639919702,243.79288606102514,0.003353159958064511,48.54544000400713,44.39574107150708,-0.005939406478450371,44.83575018461128,38.05152186513209,-0.010878050498287717,17.761214338926724,16.48266293582751,-0.004968151893378736
054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,C,054,31,2.0819999999999994,2.2369250351732886,0.004796345847470906,0.04292003026238436,0.03583197099670325,-0.011961096065929544,111.80307115490788,85.31469172724405,-0.017864657678630325,50.094537387958084,45.78780075346114,-0.0059750295147231736,48.50881947827259,62.42818837342491,0.01696030575990215,18.622028701835035,26.219693113641735,0.023073198315559873
055,Muebles y colchones,Muebles y colchones,C,055,32,1.912,2.409689803018235,0.015542765743037812,0.13858751861309127,0.17694024914374737,0.016420699790433924,361.26435723571814,431.8318951118588,0.011966121235768012,50.1299940631595,46.93369406660722,-0.0043826129825812465,13.796336200649664,13.618664010473886,-0.0008637506571611553,5.292523222135795,5.580157071061288,0.0035343520224788705
056,Otras manufactureras,Otras manufactureras,C,056,33,3.0919999999999996,3.608110343975464,0.010344205456541022,0.09424631630015258,0.08762592779851877,-0.0048438842124426396,194.1078933338851,175.53312182593933,-0.006683326710993476,39.60732099795258,38.52326637787912,-0.0018483959143386075,32.80764831330595,41.17628691215359,0.015262017112726012,15.929285238707157,20.55515395865464,0.017142098411732087
058-060,Energía eléctrica,Energía eléctrica,D+E,058-060,34,12.705,18.54986127440577,0.025552111479585804,0.04189184797885692,0.06210099594068584,0.026592143824372805,106.83322943689488,148.44592477954646,0.022172348062543756,49.04260090210532,45.96913913281208,-0.004305308382123285,303.2809630745412,298.70473079245284,-0.0010130920551492117,118.92367259668671,124.96039417689458,0.003306451620852524
061,"Gas, vapor y aire acondicionado","Gas, vapor y aire acondicionado",D+E,061,35,2.145,3.3058298083149955,0.0292563292919521,0.013774342028678124,0.021337284494018574,0.02960636572194586,34.94456684404463,51.23854609321274,0.02584357424864514,48.78715073633922,46.18004019747354,-0.003654592277760771,155.72431667038023,154.93207719293943,-0.00033997112066075363,61.382932848273605,64.51841553624604,0.003326779178596029
062,Agua,Agua,D+E,062,36,2.073,2.4271334978250003,0.01056974234296737,0.03392044403142028,0.06459380032405485,0.04387529765831499,83.86156408829312,155.44481446817727,0.04199959952685406,47.544259291519744,46.278796729103824,-0.0017968603488065504,61.11358678205374,37.5753320852548,-0.03190568393567772,24.719310002583008,15.614116856383681,-0.03016302232568835
"063,064,066","Aguas residuales, desechos y saneamiento","Aguas residuales, desechos y saneamiento",D+E,"063,064,066",37,3.8279999999999994,4.417444723164031,0.009593656119009086,0.03223279063850959,0.0603063417859694,0.04264789753968978,82.05101475611275,141.4304659224126,0.0369646088786888,48.95338252345022,45.10001057611604,-0.0054508225398157695,118.76104811807886,73.25008601652195,-0.03170220886521513,46.65390198254453,31.234039245740718,-0.026395262215628712
065,Reciclaje,Reciclaje,D+E,065,38,1.131,1.4392379605138546,0.016197214235906587,0.002447677726194799,0.09629869926508464,0.277392648263338,5.725639150267967,200.75647196180003,0.2676218175716789,44.984862189614056,40.090898561913995,-0.007649042528108385,462.0706345023092,14.945559716772665,-0.20447544800147088,197.53253223215575,7.169073786013299,-0.19834354367410145
067,Edificaciones,Edificaciones,F,067,39,22.035,20.466390757447634,-0.004911103090774915,0.6470555075236512,1.0280010358434257,0.03134381300026634,1658.459470456832,2462.55689921003,0.02670440993215606,49.29013196564641,46.0669413698525,-0.0044984058755476175,34.05426542821688,19.90892036471144,-0.03515308438761333,13.28642658595108,8.31103263604309,-0.03079319881855791
068,Obras civiles,Obras civiles,F,068,40,9.751,11.939425353011725,0.01358992383173474,0.1171378138441624,0.21244230855047225,0.040486045034572316,311.4646653018916,516.937127445387,0.03435256570020817,51.13383036094585,46.79434465078393,-0.005894821332428801,83.24382776148202,56.2007889787883,-0.025849574178521406,31.306922056627844,23.096474830535545,-0.020073080066677185
069,Actividades especializadas de construcción,Actividades especializadas de construcción,F,069,41,8.542,9.082220023194926,0.00409660063909012,0.19428274607351254,0.33994172464932637,0.03800158341338955,467.7325231316064,773.0231734679123,0.034061406581732845,46.297761359960845,43.73052550207968,-0.0037959256465677216,43.96684817687252,26.716991074172697,-0.0326637100714291,18.262574393606,11.748962172053078,-0.028977781930471957
070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,G+H+I,070; 071,42,51.166,89.07313885503241,0.03765030807131198,3.1446644737500353,3.902758903545778,0.01450259111062735,8070.719592263262,9338.511986542782,0.009774412300520119,49.35539142590251,46.01533771630535,-0.004660588205034677,16.270734263418625,22.82312104242634,0.02281681403626945,6.3397073104917006,9.53825823465139,0.027606062731658776
"072,074",Transporte terrestre y tuberías,Transporte terrestre y tuberías,G+H+I,"072,074",44,24.131,31.81156414769242,0.018592905348849387,0.8769417311406662,1.3007239382313887,0.02663080857807998,2719.5288389209627,3411.244267590685,0.015222599077796772,59.637521696777185,50.43410778540695,-0.011112280485800041,27.51722166148033,24.456814557397184,-0.007829399977157814,8.873228205799997,9.325501679819748,0.003319770732166605
073,Transporte acuático,Transporte acuático,G+H+I,073,45,0.231,0.20710213733070768,-0.007253937061877158,0.014344189486882012,0.018844657351922502,0.018358787801651788,38.24449830668513,44.77342134340602,0.01056306437933574,51.27310413425633,45.69079275082697,-0.007655183532264687,16.10408174064161,10.98996566841686,-0.02515098329815524,6.040084462544022,4.625559787854106,-0.0176307665194112
075,Transporte aéreo,Transporte aéreo,G+H+I,075,46,2.884,7.6847413033538245,0.06751896627361531,0.015741067109844555,0.02686310967711565,0.036274490964895545,39.54569814108862,60.79097496648094,0.029080441374934818,48.31274714185784,43.51905735953457,-0.006942223950009763,183.2150247422762,286.07042876723835,0.03015077142314615,72.92828640199114,126.41253586722459,0.03735230342860607
076,Almacenamiento y apoyo al transporte,Almacenamiento y apoyo al transporte,G+H+I,076,47,4.917000000000001,9.521505769207131,0.04504187995604636,0.17833070092215672,0.25582717918089654,0.024349212060319037,457.5928519920527,604.1091716466368,0.018690868472270417,49.345751981034056,45.411453573167286,-0.005523842378584609,27.572369617648306,37.218507430261866,0.020200794467452488,10.745360157167397,15.76123359169354,0.025867524976732614
077,Correo y mensajería,Correo y mensajería,G+H+I,077,48,0.741,1.2245683968636212,0.034056627886121627,0.06636044698788104,0.19024915329679995,0.07273939211474323,164.30056141172574,456.550366760733,0.0705081464396462,47.61309370884356,46.149034533161256,-0.00207995128313343,11.166290066360219,6.436656224972638,-0.03605979654794278,4.510027194265671,2.6822197199227915,-0.034050668997482214
