anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2021,36980.0,231026.1621088288,10673638.942030106,555029224.9855655,B,Minas,Minas,1,B,B,36980000000000.0,160.06845139287708,66627.12220417173
2022,37518.0,267899.68828948337,12432560.293436846,646493135.258716,B,Minas,Minas,1,B,B,37518000000000.0,140.0449557800878,58033.09881238864
2023,38481.0,266077.72842279804,12447036.770742185,647245912.0785936,B,Minas,Minas,1,B,B,38481000000000.0,144.62315289633565,59453.446181560954
2024,37168.0,279681.8355761561,13067981.786497824,679535052.8978869,B,Minas,Minas,1,B,B,37168000000000.0,132.8938646424155,54696.22183800017
2025,34717.51991331087,299823.92017377104,13782698.184378482,716700305.587681,B,Minas,Minas,1,B,B,34717519913310.867,115.79302909917726,48440.77732720253
2010,23932.0,597890.3662379812,27157524.380547255,1412191267.7884574,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,23932000000000.0,40.02740527596029,16946.712917633584
2011,24803.0,614324.6785566962,27684590.45208848,1439598703.508601,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,24803000000000.0,40.37441578657161,17229.106930667513
2012,25068.000000000004,608153.1354544178,27255566.448554482,1417289455.3248332,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,25068000000000.004,41.219881208486996,17687.28321925925
2013,25935.0,523496.4188698601,23683992.905711826,1231567631.097015,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,25935000000000.0,49.54188618135968,21058.526828038248
2014,26659.999999999996,530271.006138224,24486880.01833049,1273317760.9531853,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,26659999999999.996,50.27617895640822,20937.42883162389
2015,27219.0,523683.94548614416,24390390.36964231,1268300299.2214,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27219000000000.0,51.9760062049108,21461.005738711516
2016,27871.0,472902.4126220864,22480112.24438496,1168965836.7080178,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27871000000000.0,58.93604950218923,23842.44186167912
2017,27923.999999999996,536213.5547065029,25132295.464608856,1306879364.1596606,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27923999999999.996,52.07626654511601,21366.930082299885
2018,28594.0,597046.6148897866,27136062.96525871,1411075274.1934528,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,28594000000000.0,47.8924078738448,20263.979195825577
2019,29391.0,574217.7726873294,25817626.450400043,1342516575.4208024,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,29391000000000.0,51.18441364580308,21892.467130834193
2021,30075.0,432419.3198512832,19531437.154264357,1015634732.0217465,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,30075000000000.0,69.5505464703643,29612.023941059986
2022,32252.0,526035.0110441843,24402476.872606676,1268928797.3755472,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,32252000000000.0,61.31150840317545,25416.71374052269
2023,32056.999999999996,587317.3969080156,26932285.108813006,1400478825.6582763,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,32056999999999.996,54.58207124251199,22890.028333653692
