sector_code,sector_name,anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,sector_name_short,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,sector_order
A,"Agricultura, ganadería, caza, silvicultura y pesca",2010,39943.0,2956386.2670199876,132949949.21140671,6913397358.993149,Agropecuario,39943000000000.0,13.510751435150661,5777.622480796794,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2011,40706.0,2962123.234075517,132918897.10351674,6911782649.382871,Agropecuario,40706000000000.0,13.742169647679903,5889.363434140178,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2012,41725.00000000001,2949416.079599234,129875306.14163673,6753515919.36511,Agropecuario,41725000000000.01,14.146868015200349,6178.263366546195,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2013,44834.99999999999,2866044.599024037,127041660.01723884,6606166320.89642,Agropecuario,44834999999999.99,15.643510926266632,6786.840933474429,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2014,46140.0,2835772.625633171,125319488.38932851,6516613396.245083,Agropecuario,46140000000000.0,16.27069800411021,7080.364783736623,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2015,48124.0,2822782.0079052006,123696986.48146446,6432243297.036152,Agropecuario,48124000000000.0,17.04842948028886,7481.682171782055,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2016,49441.0,2824674.319125413,125238596.8305349,6512407035.187815,Agropecuario,49441000000000.0,17.50325680565826,7591.816625229437,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2017,52198.0,2989332.6662863414,130184916.76855534,6769615671.964878,Agropecuario,52198000000000.0,17.461422272833143,7710.629750543808,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2018,53029.99999999999,3033345.518531306,130953558.81316756,6809585058.284713,Agropecuario,53029999999999.99,17.482347354110917,7787.552331912259,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2019,54471.0,2938597.2203198792,126046441.45668806,6554414955.747779,Agropecuario,54471000000000.0,18.536395400956174,8310.581549651904,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2021,57967.99999999999,2744398.01972018,117655679.99291658,6118095359.631662,Agropecuario,57967999999999.99,21.122300622382188,9474.844145529947,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2022,57442.0,2904810.4483085475,122052805.6807599,6346745895.399515,Agropecuario,57442000000000.0,19.774784283583152,9050.6223105036,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2023,58389.0,2972460.482793254,126403196.76730928,6572966231.900083,Agropecuario,58389000000000.0,19.64332253969318,8883.204011702519,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2024,61967.0,2942957.6415224085,122413954.4261189,6365525630.158182,Agropecuario,61967000000000.0,21.05602850877056,9734.78132055846,0
A,"Agricultura, ganadería, caza, silvicultura y pesca",2025,63894.79103692441,3127958.1670110263,131258843.45357525,6825459859.585913,Agropecuario,63894791036924.414,20.4269966621645,9361.243396250928,0
B,Explotación de minas y canteras,2010,38427.0,191369.27809326013,9519565.705094153,495017416.66489595,Minas,38427000000000.0,200.80025583455117,77627.57169009533,1
B,Explotación de minas y canteras,2011,43973.99999999999,219230.15538198248,10896110.633486569,566597752.9413016,Minas,43973999999999.99,200.58371953156046,77610.6148881173,1
B,Explotación de minas y canteras,2012,46335.0,213174.15960678895,10396683.219675405,540627527.4231211,Minas,46335000000000.0,217.35748875692704,85705.95770595307,1
B,Explotación de minas y canteras,2013,48794.0,199412.62389731887,9745044.444395352,506742311.1085583,Minas,48794000000000.0,244.68862124358236,96289.5715048096,1
B,Explotación de minas y canteras,2014,48136.0,190084.27413505933,9072386.671843374,471764106.93585545,Minas,48136000000000.0,253.2350465025752,102034.04475310142,1
B,Explotación de minas y canteras,2015,47627.0,179129.673096412,8791249.905666092,457144995.0946368,Minas,47627000000000.0,265.8800140519766,104183.57525743096,1
B,Explotación de minas y canteras,2016,46253.00000000001,155190.31280836582,7484209.163163993,389178876.4845276,Minas,46253000000000.01,298.0405101516533,118847.66310496008,1
B,Explotación de minas y canteras,2017,43592.0,164674.34855725782,7916672.90397888,411666991.00690174,Minas,43592000000000.0,264.71639561302356,105891.4145469321,1
B,Explotación de minas y canteras,2018,42868.00000000001,188535.86999711173,8867148.521293255,461091723.10724926,Minas,42868000000000.01,227.3731783806271,92970.65605757789,1
B,Explotación de minas y canteras,2019,43693.0,188596.5804910166,9030229.21204678,469571919.0264325,Minas,43693000000000.0,231.67440197613354,93048.57941801348,1
B,Explotación de minas y canteras,2021,36980.0,231026.1621088288,10673638.942030106,555029224.9855655,Minas,36980000000000.0,160.06845139287708,66627.12220417173,1
B,Explotación de minas y canteras,2022,37518.0,267899.68828948337,12432560.293436846,646493135.258716,Minas,37518000000000.0,140.0449557800878,58033.09881238864,1
B,Explotación de minas y canteras,2023,38481.0,266077.72842279804,12447036.770742185,647245912.0785936,Minas,38481000000000.0,144.62315289633565,59453.446181560954,1
